same	0	true	true
file_nil	-1	false	false
file_name_bytes	1	false	false
same_name_other_path	0	true	true
position_extremes	-1	false	false
end_extremes	1	false	false
code_extremes	-1	false	false
category_extremes	1	false	false
source_bytes	1	false	false
localized_identity	-1	false	false
adhoc_identity	1	false	false
arguments	1	false	false
chain_code_ignored_by_sort	0	false	false
chain_text_ignored_by_both	0	true	true
larger_chain_first	-1	false	false
recursive_size_before_arguments	-1	false	false
recursive_arguments	-1	false	false
larger_related_first	-1	false	true
related_file_order	1	false	true
flags_ignored	0	true	true
nil_empty_arguments	0	true	true
